Sample	Protists_1k	Bacteria_24k	Human	Fungi_RefSeq_release	Bird	Coral	Plant	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Zdi-ADup_001-Ex1-11B-lcwgs-1-1.clmp.fp2_r1_screen	119201.0	164234.0	27343.0	13565.0	9899.0	2706.0	2284.0	459.0	11.0	0.0	556361.0	14395113.0
Zdi-ADup_001-Ex1-11B-lcwgs-1-1.clmp.fp2_r2_screen	118998.0	164341.0	27457.0	13481.0	9698.0	2670.0	2171.0	466.0	14.0	0.0	559826.0	14392054.0
Zdi-ADup_002-Ex1-9G-lcwgs-1-1.clmp.fp2_r1_screen	98314.0	53768.0	27107.0	11631.0	8378.0	2203.0	1937.0	447.0	41.0	0.0	330380.0	13787653.0
Zdi-ADup_002-Ex1-9G-lcwgs-1-1.clmp.fp2_r2_screen	98575.0	53953.0	27327.0	11614.0	8420.0	2250.0	1962.0	489.0	13.0	0.0	332467.0	13784789.0
Zdi-ADup_003-Ex1-9H-lcwgs-1-1.clmp.fp2_r1_screen	105695.0	64664.0	38088.0	12519.0	9210.0	2404.0	1976.0	459.0	47.0	0.0	379326.0	15427055.0
Zdi-ADup_003-Ex1-9H-lcwgs-1-1.clmp.fp2_r2_screen	106964.0	64552.0	37836.0	12370.0	9206.0	2318.0	2004.0	449.0	10.0	0.0	381887.0	15423847.0
Zdi-ADup_004-Ex1-10A-lcwgs-1-1.clmp.fp2_r1_screen	194.0	288.0	44.0	19.0	11.0	3.0	1.0	2.0	0.0	0.0	760.0	21376.0
Zdi-ADup_004-Ex1-10A-lcwgs-1-1.clmp.fp2_r2_screen	191.0	277.0	49.0	16.0	11.0	7.0	4.0	0.0	0.0	0.0	726.0	21417.0
Zdi-ADup_005-Ex1-10B-lcwgs-1-1.clmp.fp2_r1_screen	4621.0	1822.0	1001.0	558.0	398.0	109.0	83.0	33.0	0.0	0.0	21237.0	662985.0
Zdi-ADup_005-Ex1-10B-lcwgs-1-1.clmp.fp2_r2_screen	4584.0	1794.0	1024.0	582.0	376.0	94.0	87.0	28.0	1.0	0.0	21223.0	663054.0
Zdi-ADup_006-Ex1-10C-lcwgs-1-1.clmp.fp2_r1_screen	143052.0	106995.0	33630.0	18523.0	11682.0	3243.0	2830.0	613.0	29.0	0.0	533264.0	18377221.0
Zdi-ADup_006-Ex1-10C-lcwgs-1-1.clmp.fp2_r2_screen	142919.0	106732.0	33568.0	18382.0	11794.0	3214.0	2693.0	668.0	13.0	0.0	539647.0	18371452.0
